N_events,Median_Time,Ratio_deletes,Ratio_pastes,Length_per_event,Label
1434,155,0.091352859,0,0.794979079,Genuine
15,844,0.866666667,0.066666667,198.8666667,Fake
919,112,0.013057671,0,0.952121872,Fake
188,232,0.117021277,0,0.75,Genuine
669,131,0.043348281,0,0.865470852,Genuine
8,292,0.125,0.25,376.875,Fake
520,131,0.046153846,0,0.825,Genuine
3,282.5,0,0.333333333,1521.666667,Fake
31,33,0.806451613,0.032258065,3.580645161,Fake
11,406,0.090909091,0.363636364,48.72727273,Fake
212,216,0.028301887,0,0.933962264,Genuine
1315,140,0.07148289,0,0.79391635,Genuine
